iter	Logloss
0	0.6627357455
1	0.6385119604
2	0.6170651283
3	0.6017945352
4	0.5854223145
5	0.572241875
6	0.5606984209
7	0.5519024615
8	0.5435116668
9	0.5362047747
10	0.5295269283
11	0.5243045674
12	0.5197121509
13	0.5156268231
14	0.5115394144
15	0.5076036877
16	0.5043795738
17	0.5017279354
18	0.4993511024
19	0.4967075463
20	0.4937187892
21	0.4915703045
22	0.4900349863
23	0.4881708157
24	0.4865383122
25	0.4850840801
26	0.4836240889
27	0.482282188
28	0.4809633523
29	0.4795641376
30	0.4777851616
31	0.4768195234
32	0.4758538832
33	0.475223574
34	0.4744978344
35	0.4736946629
36	0.4728967792
37	0.4720513071
38	0.4711735302
39	0.4700082679
40	0.4693437987
41	0.4685422241
42	0.4680599988
43	0.4673952265
44	0.4668106636
45	0.4661432081
46	0.4654028051
47	0.4645945029
48	0.4640041348
49	0.4633171627
50	0.4628242507
51	0.4622910471
52	0.4618997625
53	0.4614732482
54	0.4611730474
55	0.4607683342
56	0.4602675783
57	0.4596554603
58	0.4590316836
59	0.4586849903
60	0.457934094
61	0.4575021796
62	0.4570006117
63	0.4565239913
64	0.4562151667
65	0.4558212626
66	0.4555131354
67	0.4550434753
68	0.4545610129
69	0.4539864162
70	0.4534691873
71	0.4530359264
72	0.4525956873
73	0.4520087648
74	0.451682501
75	0.4511727018
76	0.4510051537
77	0.4506452879
78	0.4503375606
79	0.45010583
80	0.449607806
81	0.4495299228
82	0.4490278923
83	0.4486728891
84	0.4485106509
85	0.448095511
86	0.4472928739
87	0.4470855678
88	0.4465825819
89	0.4460507221
90	0.4457363513
91	0.4455449913
92	0.4451498102
93	0.4445440488
94	0.4441825414
95	0.4437688208
96	0.443589843
97	0.4431378816
98	0.4428807683
99	0.442440736
100	0.4421943421
101	0.4420516034
102	0.441784797
103	0.4413632194
104	0.4410717558
105	0.4406711272
106	0.440382007
107	0.4397344597
108	0.4393689605
109	0.4389982479
110	0.4388195962
111	0.4384384978
112	0.4381542878
113	0.4379477669
114	0.4376396546
115	0.4373878006
116	0.4369620129
117	0.4367421254
118	0.4364906513
119	0.436230534
120	0.4357840248
121	0.4353841858
122	0.4351852664
123	0.4349628084
124	0.434817123
125	0.4346247802
126	0.4342536977
127	0.4339807253
128	0.4336850181
129	0.4331992881
130	0.4328729449
131	0.4326836566
132	0.4323775745
133	0.432063333
134	0.4319111076
135	0.4312884573
136	0.431071719
137	0.4307698016
138	0.4303427846
139	0.4299422712
140	0.429527633
141	0.4292097043
142	0.4288367641
143	0.4284593685
144	0.4281777197
145	0.4279667451
146	0.4277879679
147	0.4273736849
148	0.427118107
149	0.426793023
150	0.4265077856
151	0.426198211
152	0.4256615949
153	0.4253186281
154	0.4249376289
155	0.4245495076
156	0.4243092658
157	0.4238615327
158	0.4235624505
159	0.4232522822
160	0.4228990346
161	0.4226931912
162	0.4220405866
163	0.4215326081
164	0.4210716054
165	0.4208492322
166	0.4205429502
167	0.4201298662
168	0.4197433043
169	0.4191608078
170	0.4186989225
171	0.4185181098
172	0.4181765697
173	0.4178720969
174	0.4175246621
175	0.4171689558
176	0.4168319577
177	0.416415233
178	0.4162577769
179	0.4158980997
